"published_platform","rating","type","helpful_votes","travel_date","text","title","machine_translated","machine_translatable"
"Desktop","1","review","0",,"My flight DL1658 from Orlando to Montreal (via Atlanta) was supposed to depart at 12:05 pm March 8th. The flight had about 40 min delay. I asked at the counter if that would be an issue to catch my connecting flight in Atlanta. I was asked to use the dedicated phone booths for further information - but nobody could be reached. I then received the option to change flights and fly through LaGuardia on the app which I accepted. The app showed my new flight. I waited 3 hrs for the new flight. Here again a delay of 45 min in Orlando made the flight through La Guardia impossible. I went to the counter and was rudely asked why I didn’t board the flight to Atlanta. After explaining the situation the delta employee basically said I should not follow instructions on the app, not use the telephone booth …. so basically not use the Delta services. I waited 3 hrs more for a flight through Detroit. In summary: not only did I wait 6hrs in the airport because of unreliable flights of Delta, I was also rudely talked to and blamed for having used the Delta app when no customer service was available. On top of that, the interface to file a complain is very difficult to use on a smart phone as only 3 lines are visible while writing. 
Not a reliable airline / app is bad / rude Customer service.","Not a reliable airline / app is bad / rude Customer service.","false","false"
"Desktop","1","review","1",,"Supposed to be on a direct flight to Atlanta then onto SD. Plane delayed 3 hours and informed that now stopping in Puerto Rico to refuel.  So much for a direct flight. Told by ground staff this was due to the heat. 85 degrees midday in Johannesburg today. Basically Delta messing passengers around, dishonest about why (other planes coming and going constantly) and I’ve ended up paying more for a cheaper flight. No hopes for redress either.","Deceitful Delta","false","false"
"Desktop","1","review","0",,"I’m taking a loooong flight with a baby 2 years old and the tv is not even working… you pay so much money for nothing. 

Buy they still sell the seats… is just ridiculous that when you get in the airplane give you all this surprise. And the answer was… you didn’t bring your tablet hahahaha. This is ridiculous. 

Go for different airline.","Terrible services…stupid solution for so much money that is not worth","false","false"
"Desktop","2","review","0",,"This is an airline that cares more about squeezing every dollar out of you than providing good service.  Avoid Delta if you can.","Avoid this airline if you can!","false","false"
"Desktop","5","review","0",,"I suppose people only leave reviews when they've had a poor experience. That is unfortunate but, I can only speak for my experiences flying with Delta airlines, and specifically my latest trip. The desk agents are so professional and friendly. They have positive attitudes greeting people when they get in or off their planes and letting people know where the monitor is for connecting flights. They all look good also! I can say the same about the flight attendants and it makes me happy to be able to say this. The flight attendants look so well out together and are really genuine.  I love flying with Delta. I've never experienced rudeness or discomfort.  The plane seats feel great as well.  Thank you Delta airlines for your hospitality, I am so glad to have experienced flying with you and each time having a wonderful experience. Awesome airline!","Hospitable and Genuine employees. Condors seats.","false","false"
"Desktop","1","review","0",,"Horrible airline, made a cancer patient just out of radiation unable to eat get their flight cancelled and did not provide any accommodations. If you value your child and life, don’t fly with them. Email me for proof, they did a mistake that led to risk of death.","READ ASAP DONT TRUST THE REST","false","false"
"Desktop","5","review","0",,"Delta is the best airline I’ve ever flown flight attendants are amazing great legroom. Unlike a lot of airlines you didn’t pay for all of these add ons the WiFi was awesome and great entertainment systems!","AWESOME","false","false"
"Desktop","1","review","1",,"I would avoid using or flying Delta Airlines at all cost. I had $600+ credit due to a flight i had to postpone and am now ready to take that trip the credit expired after 12 months. I am out $600 because of their greed and crappy customer service and will find a different carrier and will make a connection vs fly Delta again.","$600 credit gone/expired with zero notification prior to expiration","false","false"
"Desktop","1","review","0",,"I usually hold back from leaving negative critiques despite some awful experiences, but this company is the absolute worst with its apathetic customer service. Delta, may you soon encounter a competitor that will spur you to do better- hopefully it won’t be too late for you! Trashy Airline!!","Trashy Airline!!","false","false"
"Desktop","1","review","0",,"I booked flights from RDU to India in which Delta was given by the travel agent/international airline to reach EWR. Due to small schedule change (4 mins delay in departure and DL flight number change while returning), the travel agent asked me to acknowledge the change so that they the international airline can reissue the ticket. The same was done and the ticket was reissued. The PNR and eTicket was showing all the passengers including an infant correctly but Delta team at the RDU airport said the infant name was available in the original ticket but not listed in the reissued ticket. I had to deal with the Delta people at RDU by holding the Travel agent and international airline customer service for 2 hours. Everyone was saying it is a mistake in Delta system that they should fix but they didn't agree till the final moment. Some supervisor from Delta came just few mins before boarding and resolved the issue. I have gone through the Frustration with two kids at the airport for 3 hours.....","Frustrated check-in","false","false"
"Desktop","1","review","0",,"Nothing but problems and attitude. We booked a flight in November and selected our seat assignments. Our seats were changed multiple times right up until the time the day of the flight. Nobody would take responsibility Delta blamed Air France Air France blamed Delta. Our first class flights were supposed to have Sky mile club access and of course they would not allow us said. I hope this is the beginning of the fall of Delta Airlines.","Zero Customer Service","false","false"
"Desktop","5","review","0",,"I had by far the dopest experience traveling w/ Delta ~ The team from ATLANTA are incredible! I wanted to take sometime to show recognition to Necee ~ very polity, positive and professional! Her interaction with the customers stands out from many & always kept a smile! Ms.Necee made me feel welcome & hospitality is truly incredible & just grateful for the experience!  The Delta | Atlanta Team are wonderful people & genuinely in the service of helping & serving others! Thank you for the hospitality & all that you do & God bless!","An Experience To Remember","false","false"
"Desktop","5","review","0",,"Where do I begin to express my gratitude to Delta for the unbelievable service my husband I experienced on our elopement/ honeymoon trip from Knoxville to Bozeman and back?  It all began in Knoxville where the man at the gate came on the speaker to announce and congratulate us on our wedding, after I spoke with him and informed him I would be traveling with my wedding gown.  Everyone on our flight cheered wildly, before they let us board the plane FIRST.  They had been announcing that the flight was 100% full, and they needed 15 or so people to volunteer to check bags because there would not be enough overhead space for everyone on board.  They allowed us to board the plane first (as I had my wedding dress as my carry on item), and the flight attendants went above and BEYOND... the ladies showed me an overhead bin where I could store my dress and then shut it so that no one else could store bags in there, ensuring it would be kept safe and free of wrinkles.  Everyone was incredibly kind and told us they wished they could do more for us, although we felt like royalty!  We were able to board first or at least preboard 3 out of our 4 flights with Delta, with all of the staff congratulating us, along the way.  We were truly made to feel so special, and this attention to detail and care by the Delta staff elevated our experience ten fold.  We could not have asked for greater hospitality, and we will forever fly Delta because of this experience.  The staff on these flights should personally be thanked and praised for their kindness and hard work.  From the lovely individuals we encountered checking our bags to those on our aircraft, every single person was just so pleasant.  It kicked off the most incredible time in our lives in such a unique way.  We feel so blessed.  Thank you, Delta!!!","Flying with Delta, as a Bride?  I DO!","false","false"
"Desktop","1","review","0",,"Although I had a 3.5 hour layover in Atlanta, somehow my bag didn’t get on the flight to my final destination.  Then the bag arrived at the final airport at 8:30pm. My hotel is 1.5 miles away. It’s 11:30pm. No bag.","Atlanta (hub) Baggage Handling","false","false"
"Desktop","1","review","0",,"Delta contacted me on March 3, 2024 about flight I have scheduled to Return From Cozumel on May 10th.  They told me my flight schedule had changed ( i.e. they cancelled the flight for ""Operational"" reasons).  My flight on May 10 was a one stop flight, with 2 hour layover in atlanta, going on to Detroit.  Total flight time approximately 8 hours.  The only options they had for me was to reroute to Mexico City, spend 8 hours overnight, and then fly out the next day to Detroit.(Essentially 26 hour travel time)  I informed them because of a commitment on the 11th I needed to get home on the 10th, and luckily for me on January 27th I made a reservation with them, which they accepted and took my money, to get me home on the evening of the 10th.  However, after hours of calls, supervisor escalations, etc. they said if they need to cancel flights for ""Operational management"" reasons their ""Contract of Carriage"" allowed them to do that, and unfortunately I had two options:  1) Take what they were offering which would require me to go and stay in Mexico City and get home a day late or 2) cancel my flight and make alternate travel arrangements.  ( Basically the Tough $#*t card)  My expectation was since they ""electively"" cancelled the flight they should have got me a comparable scheduled flight that gets me home on the 10th, and there was an available American Airlines flight.  They said they don't do that, and it was unfortunately my problem.  So after wasting half my day I had to cancel booking with Delta and rebook entire trip for American Airlines. at an additional $250 cost.  Horrible customer service Delta, won't be flying with you anytime soon.","Delta cancels flight 60 days in advance Leaving Customer with no Workable Option","false","false"
"Desktop","1","review","0",,"My boarding experience today was unpleasant. I was disappointed to have to gate check my carry-on, and rather than being sympathetic or helpful the airline staff were rude.","Rude","false","false"
"Desktop","1","review","0",,"KINGSLEY at Orlando International Airport needs to go back to customer service training!!!!     My husband and I are Platinum AE cardholders with free baggage.  I was traveling with a friend and KINGSLEY at MCO would not honor the free baggage because my husband wasn’t with me.   This is our primary card which we use exclusively and KINGSLEY would not honor $60.   Very disappointed in Delta for not empowering KINGSLEY to use common sense!!!!!","If you run into KINGSLEY at MCO RUN!!!!","false","false"
"Desktop","2","review","0",,"I paid extra for premium plus seats for a long flight to Atlanta. On boarding the plane, my seats had no armrests either side, just bare metal/ table mechanisms. I spoke with a Delta rep on the flight, and they were very apologetic and promised to refund the difference between standard seating and premium. They said they ""would be in touch"" 
This did not happen.
No communication from Delta whatsoever. 
I then raised a complaint, their response took 2 weeks and they offered a £17 compensation in the form of a voucher I could use on a future flight. When I contested this, they blanked me. 
On my flight, the onboard entertainment TV showed an advert by Deklta on their ""commitment to acheiving net zero carbon footprint and they had started to do this by reducing the use of plastics on planes""
Strating with my armrests!","Nte Zero- reducing plastics - starting with my armrests","false","false"
"Desktop","2","review","0",,"We flew with delta for our Disney trip. They said we had to call once our son was born to add to reservation so we did as instructed. Received the proper info he had been added. Also ensured we had family seating. Between breastfeeding, having flight anxiety and a special needs older child we needed to be close to support eachother. Had no problem paying for our seats either but they told us it was complimentary. We had nothing but issues with our sons ticket. It was like he didn't exist. We had 3 stops and each time had to have him readded to the tickets which required us to exit take alot of tike dealing with and go through security each freaken time. You can imagine with special needs 6 year old, and a 4 month old this way hell.  We were not offered any discounts or compensation for our stresses and almost missed our flights each time causing us to get yelled at by the gate crew. On our way back they assured us this issue was resolved. They wernt wrong they fixed that but they fd up our seats. The night before we got confirmation of all our seats together. Than as we were boarding our flights noticed all our seats were separate from eachother. Thankfully flight attendants gave us their row at the back. But come on again no compensation or even a sorry for all of the stress. I will never ever again book through delta and with a family of over 300 members who travel they have agreed as well.","Do not use for families","false","false"
"Desktop","2","review","0",,"Very rarely do we fly with Delta do to our business locations, but we do have the occasional trip to ATL.  These flights have become increasingly poor, from timeliness to comfort it's been a miss every flight this year. Today's flight was particularly bad sitting in Comfort+ with multiple overhead bins broken and taped closed.  The seating area was dirty and the temperature was stifling. There was no infight entertainment available and even though we were in Comfort+ we were only allowed water/coffee and chips or almonds. Even after requesting to purchase a soda I was told no, even though I could see it was available to first class passengers. Delta, you really need to do better, especially with ""upgraded"" seats.","Another Delta let down...","false","false"
"Desktop","5","review","0",,"I just want to praise Delta Agent, Marilyn, at the Albuquerque, NM airport.  She was so kind and professional!  My husband and I had gotten an upgrade to Comfort Plus, however the seats were in the middle and I let her know that we were happy to stay where we were.  She asked if she could seat us together if we would then like the upgrade to which we said ""yes!"".   She was able to do so, and we received our upgrade.  She was just so kind and helpful.  I usually get an opportunity to review my flight via Delta but didn't this time.  I really wanted to thank Marilyn publicly  for her kindness and assistance. :)","Thank you Marilyn!","false","false"
"Desktop","1","review","0",,"Flight was at 8am and The airline staff would not stop chatting to one another as if they were yelling across a playground while the majority of the cabin was trying to sleep. The checkin staff are lazy to be honest - a few good ones which are overshadowed by the typical lazy, low-quality service ones in my opinion.","Shockingly bad","false","false"
"Desktop","2","review","0",,"Delta Airline is amazing . I only fly with Delta from Atlanta but the customer service is horrible. I couldn’t check in with my app and I called the Airline and obviously it went overseas and the lady didn’t have any knowledge of what she was doing she canceled my flight and my partner and was saying that I couldn’t fly if she doesn’t reissued the ticket . That obviously didn’t solve the issue so I called again and again it went overseas this guy was even worse than the female . All I am saying is please hire someone who can help you and doesn’t give you a heart attack by saying you can’t fly tomorrow when you are in a foreign country and have to go back for work and …… Delta you can definitely do better !!!!!!","Horrible customer service/ lack of knowledge","false","false"
"Desktop","1","review","0",,"Spent extra for a first time first class vacation ended up in the first row a bulkhead seat normally that would be a plus but not on this flight the seats were so close you could not stretch out your legs at all. The worst seat I have ever sat on had no cushion and the seat design had some kind of huge wing thing on it so it just made everything awkward could not sleep , talk  just sucked. Top it all off with the cabin was so cold. I have flown all over the world in coach and this was the worst flight experience I have ever had for comfort.","Not so first first class","false","false"
"Desktop","1","review","0",,"Plane was ridiculously hot at boarding.  Probably 40 degrees outside, 90 inside.  Stupid.  Uncomfortable, now sweaty and gross to fly.  Unnecessarily Uncomfortable... hate it.  Don't recommend.","Too hot for comfort... cool day, stiffling cabin.","false","false"
"Desktop","1","review","0",,"Our flight is 2+ hrs delayed. What is most frustrating is that they only told us at 5 PM that our 7:40 PM flight is delayed while at that point their 5:30 PM flight was already delayed to 7:30. They would have know earlier of the delay but failed to efficiently communicate this. I was already on my way to the airport. The second annoying part was that customer service was hit and miss. 50% of the staff were rude when we were politely asking about options. This was my first time flying with delta if I can help it, my last time flying with them","Flight delays and poor customer service","false","false"
"Desktop","1","review","0",,"I never check bags because of the inconvenience of going to baggage claim and because airlines may lose your bag during transit, but I decided to check my bag for the first time in years on this flight and Delta informed me during my flight that ""unfortunately your bag was not able to make it to your final destination."" I had to go to their customer service desk and fill out paperwork at 12:00 am and was told that I could come back to the airport (mind you I live 1 1/2 hours away) the next day or they could deliver it to me. Seeing as though they had already lost my bag once, I opted to take time out of my day and gas out of my car and go to the airport myself. Afterwards, per the customer service rep I spoke with, I filled out a claim requesting compensation for the gas I spent getting to the airport and payment for parking, saying nothing of the time out of my day it took or the inconvenience of spending a night without any of my things. The claim, unsurprisingly, was very confusing and the website was very outdated. Their document upload tool was not functional so I was literally forced to fax the receipts. All of this effort and frustration to simply be told no by email more than a month later with the claims manager saying ""We realize this is a disappointment, and trust you understand our position."" No, I simply do not understand how a corporate airline company as giant as Delta cannot approve a requested $38 compensation for a customer they thoroughly effed over in multiple ways. Delta has always been my #1 airline of choice and despite sounding like the biggest Karen of the internet, I can say with certainty their lack of professionalism has placed them at the bottom of the list going forward. Very frustrating.","A sad story: Delta f**ks me over in every way possible","false","false"
"Desktop","1","review","0",,"Terrible airline. First they double charged me and I have -$360 on my account. I’m not getting paid until later and these 360 dollars were meant for me to survive before the pay day. Calling delta didn’t help me with anything. The money is on freeze and there is no way to dispute it… 
I thought that this is going to be the only problem with this airline, but no! My flight was delayed by 2 hours and I have a connecting flight that has to take me to Florida. Of course, I’m not going to make it so I have to basically spend 12 hours on the travel to Florida. I have a two day trip planned and now I have a day and a half left. I hate this airline and there is nothing worse than them","Terrible","false","false"
"Desktop","1","review","0",,"After several years using delta to go back and forth between France and the US not only did they revoke access to the lounge for gold medallion members, but they also stop accounting miles for Basic economy flight even international flights worthy of 2000$. 
This company is starting to take cheap decision and is really far from the standard it use to be.","Cheap company","false","false"
"Desktop","1","review","0",,"We were at the ticket counter, with a friend, to pay for his pet’s ticket.  Since everyone else has to use a kiosk to check in, there were three workers at the counter for “special assistance” and we were the only customers.  We thought these people were there to provide “customer service”.  We talked to a man, every time he spoke it was with rudeness and disrespect, he was threatening and insulting.  He did everything in his power to deny us customer service.","Horrible customer service, rudest person ever, I should have taken his picture","false","false"
"Desktop","2","review","0",,"To whom it may concern, 

As a first time sky priority flyer, I must say I’m not impressed. I could as well stayed on main for cheaper cost. My seat on Delta one wasn’t fully functioning, it didn’t go all the way flat, so I struggled with that. I woke up feeling pain at my back and hands because of the position I had to maintain for a long time. As this was a short trip, I took my work with me thinking I had long hours to complete all my notes. But The WiFi didn’t connect and I missed deadlines. I am just now seeing that the email says no WiFi on trip. That’s crazy. So what is the catch ?

Though the food was great, what threw me off was the 90 mins wait time to get my luggage, while people in main cabin were getting out. I’m not sure what that is about. Isn’t it the other way around? A few people around shared same sentiment of displeasure while on that 90 mins wait.

Now returning to the US, I have to queue about 30 - 45 mins while the main cabin was pretty much empty. How is this supposed to be??? 
I just accumulated debt that wasn’t worth the trip, and was not in anyway  convenient. So not happy about it. My expectations didn’t match the experience. Better to have stayed on main cabin and accepted what I get with no debt.","NOT WORTH IT","false","false"
"Desktop","1","review","0",,"Delta has horrible customer service in person and over the phone. My family and I missed our flight due to the associate, that helped us during check-in, deleting my child’s information and not being able to add her back on. We waited hours while they tried to fix the problem they created and in the end showed no empathy for their mistake. Do not fly Delta if you want a positive flight experience!","Worst Customer Service","false","false"
"Desktop","1","review","0",,"I was quite disappointed on a recent trip using Delta airlines.  When I arrived at the gate in Detroit two Delta agents were assisting customers.  One of them was very unprofessional in both his demeanor and body language; putting off an attitude that he did not want to be there.  The second (and bigger) issue was carry on luggage.  When I purchased my ticket with Delta, my ticket included one carry on luggage and one personal item.  On both my departure flight and my arrival flight my husband and I were both told we must check our carry on due to running out of overhead bin space on the plane.  Both times when we entered the plane, there was plenty (quite a bit to be honest) of overhead bin space.  In fact, I witnessed the flight attendant closing partially filled overhead bins as I walked down the aisle.  When I asked a flight attendant about this on my return flight, he said ""they only fill their overhead bins 70%."" To me this is a deceptive business practice; to tell customers you can have one carry on and one personal item when you purchase your ticket, but then are told you MUST check it at the gate.  The purpose of a carry on is to keep your bag with you. Is this a ploy to get customers to upgrade so they arent in the last 30% that get told they cant bring their carry on with them? The last issue was a very rude flight attendant on my return flight,  who was both unprofessional and lacked the customer service skills needed for her line of work.  I had high expectations when flying with Delta, but it seems like quality and customer service has declined and I will be considering other airlines in the future.","Decline in quality and customer service","false","false"
"Desktop","1","review","1",,"It all started at the moment of purchase, and I, deluded, insisted and bought the flights. I checked the ticket price and even with the longer flights I chose Delta. I spent 8 hours between trying to pay on the website and having to call Delta until I finally had my flight booked. On the last call, when I finally managed to complete the purchase, everything was wonderful. However, when I checked on the website that I could choose to exchange and I also verified (as you can see in the photo) that there would be no difference in the tariff, my nightmare began. Between trying to call and private messages on Twitter, I discovered that they were charging me a difference in fares, even though the Delta website showed me that I didn't have to pay. Finally, checking my flight to print on their website, I found that my flight had been modified on THEIR WEBSITE. I was hopeful that they had done the right thing with the customer, but not to my surprise, when I called requesting my confirmation email, my flight had not been modified, even though I had already reserved the seats, and it was Payment of 500 dollars is required for a flight that on the DETLTA WEBSITE shows that there is no extra FEE. 

So after 2 years without going home, I am immensely grateful to Delta for making my experience terribly bad and for making sure that it will be the first and last time that I will fly with them.","Nightmare","false","false"
"Desktop","1","review","0",,"I had to book a last minute flight to St Louis because my dad had a heart attack so I was in the hospital for days. I was supposed to be to my final destination, SFO, by 4:25. But alas there were mechanical issues on the first plane. Arrived late and missed connection. They provided no assistance like I see other airlines doing. Letting us know that our connection might be waiting. Letting people with connections exit airplane first. So they canceled my 3:15 flight and booked me on a 10:15pm flight! Then they said that was delayed because the pilot wasn’t there. Delayed again. Delayed again. Late boarding because the flight attendant wasn’t there. It’s 1:30 and we’re still boarding. After my 2 hour drive once I arrive I’ll be home after 3:45am! After paying extra to get home early. The help desk was rude. I am actually shocked at how high deltas reviews are. I rarely fly them and won’t be anymore. I don’t have experiences this bad with other airlines.","Book with delta if you love sitting around at the airport!","false","false"
"Desktop","5","review","0",,"2/24/24 9:05 flight from PBI to atlanta. Pilots were warm to my 3 kids and let them take cockpit pics. Shout out to “Andrew” (and “Isaiah”) who helped make that happen.  Each leg of our journey 2/17/24 NY-FL-NY, the pilots were welcoming to my kids (they got collectable cards) and were lovely. Flights were DL 1276 DL 525 DL 2353 DL 786","Kind Pilots Allowed 3 Kids to See Cockpit","false","false"
"Desktop","2","review","1",,"I have been flying Delta exclusively for about 20 years. But this is now the second consecutive time that they changed the plane, a day or so before our flight, which changed the seating configuration. The original plane was an Airbus that went to a Boeing 737. We were not notified of this change with the option to change seat locations. Delta kept us in the same seat numbers, however we went from an exit row with two seats to a middle and a window seat. We NEVER book these seats - we will book two aisle seats.  We purchase flights at least nine (9) months early to select specific seat locations.  If Delta is going to change planes which in turn change seat locations, the least that they can do is put passengers back in the same location that they purchased.  Delta agents at the gate simple said that they had nothing to do with this and that the plane is full.  We could have waited to see if another flight had available exit row seats - yah right!  Time to check out the competition.","Get the seat that you pay for.","false","false"
"Desktop","1","review","0",,"Our flight left earlier than stated on our boarding passes, so we missed our flight and had to stay at the airport all night to catch the next flight. The customer service staff at the Atlanta airport completely lacked empathy and care for our situation. It was a very stressful situation. Be aware that your flight time is subject to change and delays aren’t the only thing to worry about.","Stressful Experience","false","false"
"Desktop","1","review","0",,"Scheduled to fly from Orlando (MCO) to Elmira (ELM) with layover in Detroit.  We landed in Detroit the same time our Elmira flight was boarding. Even with a flat out sprint to the departing gate, A45, the plane to ELM was alteady gone when we arrived.   When we went to the Delta Help desk near A43 they rescheduled our flight to Elmira for 20 hours later…which was the soonest they had.  In addition to the delay - and the reason why I’m mainly disappointed, is that the Delta rep would not give us a voucher for a hotel stating it was a air traffic control problem and not a Delta problem.  I find this a bit hard to believe considering I got notification of the flight delay on the delta app mid flight from Orlando.  This little hiccup cost us a additional $530 between hotel rooms,  a extra night for our two dogs at the kennel, and dinner…..not to mention a missed day of work for three adults and a missed day of school for our daughter.","No Hotel voucher? Really?","false","false"
"Desktop","5","review","0",,"Amazing this airline is the Louis Vuitton on airlines I would fly again , a little bit pricey but worth it  and if your gonna spend more please he first class","Amazing airline","false","false"
"Desktop","1","review","0",,"Picture this: I strut up to the Delta Club with my wife, confidence high, anticipating the great breakfast in the lounge luxury environment. She scans her boarding pass, and – plot twist – access denied! ""Fear not,"" I proclaimed, ""for I am a Platinum member, a VIP, an, as of late, Delta lounge lizard!"" But alas, Delta's definition of 'unlimited access' is more limited than my diet after New Year's.

It's like buying a ticket to a chocolate factory tour, only to be told you can't taste anything unless you upgrade to the 'Golden Wrapper' package. Delta sells you dreams of grandeur, but in reality, you need to shell out more to actually live that dream.

I've always thought of Delta as a fair deal – not quite a Rolls-Royce, but definitely better than a bike with a flat tire. Sadly, I'm now realizing they might just be a unicycle, one that's borrowed from Frontier or Spirit Airlines.

So here's my grand farewell, Delta. I'm breaking up with your credit card, and our 'preferred airline' relationship status is changing to 'it's complicated'. Time to reconnect with United and American Airlines. Maybe they'll appreciate my business a little more.","Corporate Level Bait and Switch","false","false"
"Desktop","1","review","0",,"I purchased a round trip ticket with insurance and my son got sick and had to have emergency surgery. I didn’t realize that they only give you a year to use your ticket. I ran into another situation with my son again because he has a blood disorder and I lost track of time and they told me that it nothing that they could do because delta is very strict. I just feel like I used money that I did not have to take a trip and I still lost out. Delta has definitely lost me and my family as customers and I will be letting my friends know about this so they don’t lose money as well. So much for customer service","Terrible experience/ Don’t waste your time or money because they rip people off","false","false"
